Repeat	Transcript	ReadID	polyA
WT_rep1	AT1G12090.1	8ffe85bb-ec8e-457d-abd4-cbb1a245fe3e	TRUE
WT_rep1	AT1G12090.1	422b9777-751e-4052-8cad-8c5aec70f852	TRUE
WT_rep1	AT1G12090.1	70540149-1ffc-4cf9-a730-5d453ae8d5ba	FALSE
WT_rep1	AT1G12090.1	131a7ba6-13bf-41da-a6a0-73fb8037bf13	TRUE
WT_rep1	AT1G12090.1	20123d99-8614-4ee7-9175-48864d927512	TRUE
WT_rep1	AT1G12090.1	f8e6ae69-54c2-4902-8558-1745ccf05aca	FALSE
WT_rep1	AT1G12090.1	329a8e60-a734-4ba4-8d8e-fba67ceaffb9	FALSE
WT_rep1	AT1G12090.1	1a547986-c7fb-49e3-bcc8-63123d1de9e5	FALSE
WT_rep1	AT1G12090.1	08e045f6-fe25-4553-9508-59e316f06d6f	FALSE
WT_rep1	AT1G12090.1	3ec066ee-f923-4843-bbaa-05839ac8265d	TRUE
WT_rep1	AT1G12090.1	7268425d-182a-490d-88b8-6f020143dc41	TRUE
WT_rep1	AT1G12090.1	7ed306e7-b2e1-4781-b65b-0a215911373f	FALSE
WT_rep1	AT1G12090.1	6dced924-2504-4ad4-b035-a4331824100a	TRUE
WT_rep1	AT1G12090.1	7aa9992d-15a1-4ac9-9db2-15b072b446e7	TRUE
WT_rep1	AT1G12090.1	c278896b-04ee-4035-b2c3-f4166fca0ea6	TRUE
WT_rep1	AT1G12090.1	9c304a4c-3420-4490-92b0-85dbc70a2c9a	FALSE
WT_rep1	AT1G12090.1	18b48178-b20d-48f8-a7a1-f7785dbe01d3	TRUE
WT_rep1	AT1G12090.1	992a8190-4432-4d53-819f-7e4bd46873d3	TRUE
WT_rep1	AT1G12090.1	fa074e21-a97a-40f5-8bc9-28c073ae0ee0	FALSE
WT_rep1	AT1G12090.1	c1d4a9e6-9174-402c-947b-72740c473c3c	FALSE
WT_rep1	AT1G12090.1	52ed758c-6c2f-4bf9-bf5d-42fe429fa60d	TRUE
WT_rep1	AT1G12090.1	beeb03fe-bae6-43c9-bcc4-4f6153305edc	FALSE
WT_rep1	AT1G12090.1	276c1b25-bd67-406a-8c59-f6b6e350c172	FALSE
WT_rep1	AT1G12090.1	f2f04ed4-e50f-4f00-975d-5611086dd5b7	FALSE
WT_rep1	AT1G12090.1	74a65600-13c6-4ac5-839e-0c2551bb33c6	TRUE
WT_rep1	AT1G12090.1	c332d390-c8e1-47c8-9cc6-a36e98caa6f6	FALSE
WT_rep1	AT1G12090.1	e2fc035a-f262-420d-a713-884206613c59	FALSE
WT_rep1	AT1G12090.1	2bbad7d6-7e96-4ff1-b820-5732d6ab28ac	TRUE
WT_rep1	AT1G12090.1	51b8ce99-3d57-42fc-a089-d9c9395cc514	TRUE
WT_rep1	AT1G12090.1	1e8011a6-cfe5-4743-a1cd-c68f34c40052	TRUE
WT_rep1	AT1G12090.1	6c377dc7-c640-4e0f-ac5e-2827676573d0	TRUE
WT_rep1	AT1G12090.1	35899689-9ce8-4d17-8b66-d2d7c0ee3ad7	TRUE
WT_rep1	AT1G12090.1	43514aa6-a6ea-48f1-9805-66853195c150	TRUE
WT_rep1	AT1G12090.1	fa8c103e-8c16-43a1-a70c-1bc00b97feff	TRUE
WT_rep1	AT1G12090.1	ac4010bc-0ef0-41e3-933a-2193178f4362	TRUE
WT_rep1	AT1G12090.1	a97a63bc-735d-4721-8508-4b7ebcbea79e	TRUE
WT_rep1	AT1G12090.1	e52ed9e8-307f-42a5-80be-7d169f4fde61	TRUE
WT_rep1	AT1G12090.1	d9762586-3fa5-46ff-a516-d2ee097ff668	TRUE
WT_rep1	AT1G12090.1	6a1316a8-6c6d-4b19-80c7-625a30af3184	FALSE
WT_rep1	AT1G12090.1	5f42a23a-e845-40df-8fb7-3e610bc253fd	TRUE
WT_rep1	AT1G12090.1	e803a20a-c8b5-4a2e-88ea-981b955cc47d	FALSE
WT_rep1	AT1G12090.1	499b4e3b-095b-46ea-b420-22462da11f03	FALSE
WT_rep1	AT1G12090.1	852d5fd3-b320-42d5-b2bb-cecce0f303f6	TRUE
WT_rep1	AT1G12090.1	1863f0e1-610c-4ede-a18b-b9827002ec02	TRUE
WT_rep1	AT1G12090.1	5412281c-4606-4bf5-ad04-90e572fcaf28	TRUE
WT_rep1	AT1G12090.1	4dbd6394-24a4-419f-949f-a258b4aa8e46	TRUE
WT_rep1	AT1G12090.1	4c786778-93eb-47f1-80f9-38f44af5dc39	TRUE
WT_rep1	AT1G12090.1	d78a055b-5dec-4b14-8fb2-c54553984fde	FALSE
WT_rep1	AT1G12090.1	ae1d72d7-227c-4268-9544-fd25aa7db955	TRUE
WT_rep1	AT1G12090.1	c8c908d4-adad-4fda-9720-e16d1a96986f	TRUE
